molecule,CAS,smiles,D,P,H,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi1v,Chi4v,HallKierAlpha,Ipc,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,NHOHCount,NOCount,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedRings,RingCount,MolLogP,Asphericity,NPR1,NPR2,PMI1,PMI3,RadiusOfGyration,SpherocityIndex
2-Nitrobenzoic acid,552-16-9,C1=CC=C(C(=C1)C(=O)O)[N+](=O)[O-],19.2,9.3,8.7,0.920138581249751,0.920138581249751,-0.4751616197957302,-0.8643980969717446,0.5043628761633917,-0.312087653108774,0.4348689757669371,0.4701112674358846,1.262697043648957,-1.105720638516145,1.014294784602332,1.590854693656286,0.2746984406463489,0.538414061158325,0.8417300719662407,-0.4606371398231905,-0.1752202194506117,0.8579643972959932,-0.2590424337109736,0.681603225136068,-0.4289640666457086,0.04722834670420621,-1.01064180554449,0.7286905248623906,0.6886995467213248,1.264723135953832,-0.04089482488207491,0.05106934044976852,-2.009126746068832,-0.04343420416403849,-0.2597299197103406,-0.05857089440236334,0.4370661232617881,0.07462048302483747,0.8044488407375733,-0.3090570236496101,0.7889320837487165,2.112561023014992,1.268030699189913,-0.2497136618059444,-0.3265415597724058,-0.1961832149343974,-0.4635570041144002,0.1233634503081554,-0.01888575162335593,0.886328200102359,0.1946123578147419,-0.3181509383083594,-0.7339575725320876,-0.7158682353903206,1.572867152637371,-0.3517509841467615,-0.3261704834068123,0.775577460539285,-0.5174130846575915,0.2760309171227347,-0.7337096367483381,1.333200720224354,-0.2039837136846585,0.9515794881808932,2.106839439641878,0.9473509844051704,1.668190353585362,1.321427096244006,-0.6844305470165247,0.02453481382512467,0.7801868754177592,-0.5785178217524465,-0.5341558821648376,-0.735616118027448,-0.2280453841494442,-0.3673519014015489,-0.4600824548841024,2.033100282318402,1.940313053752463,-0.7314693877214252,-0.4663218419423388,0.7300350820094115,-0.399650012499351,-0.8472715016504616,-0.1387470338806408,-1.368739879162098,0.4954733595012986,1.987795171770839,-0.3548376827399277,1.31920675358318,1.107974342439297,1.020080714997506,0.6111710726482517,1.350190989710834,-0.05675690696716722,-0.3225198718759464,0.7055096707730393,-0.1901139229715207,-1.096273135646266,1.363174305520183,-2.021010066803018,0.4105662601347961,-0.07909748360143358,0.1050796065606503,-0.9165306438541142
2-Bromobutane,b'78-76-2',CCC(C)Br,16.3,7.7,4.4,-1.381411854301131,-1.381411854301131,0.03099178925846215,0.5382839058817228,0.09241713600412452,0.4648281120326178,0.002068646456818245,-0.6437175544224336,-0.9999053009088232,1.503278517836981,-1.597608840826555,-1.181012520054987,1.168639582794037,0.538414061158325,0.06968366055367588,3.165054710347521,-0.1033932852007939,-0.1741084171696068,-0.01934761972045516,0.1385743751639869,0.1575498064177296,2.237393780544725,0.4665910023453964,-0.7546192531777777,-0.3538935714459668,-0.8109973784770517,-0.1717245545823569,-0.5232379413278011,1.356896637448377,-0.04350011407878156,-0.3433041753441222,-0.05486856107340635,-0.4853347218541125,-0.802502338024243,-0.4256814876046833,-0.3090570236496101,-0.4539300838734694,-0.5120800762740358,-0.3637739044545082,-0.2497136618059444,-0.3265415597724058,0.697870673451626,-0.4319073975970948,-0.07453200274994495,-0.6944920990836586,-0.8757441484057942,0.5689279739196708,-0.3181509383083594,0.4329452829231786,-0.7158682353903206,-0.7620002145257545,-0.3517509841467615,-0.3261704834068123,-0.2401757893072567,0.8742193224017885,-0.6043642866923478,-0.7337096367483381,-0.4222688300399541,0.2600003623272013,-0.7418689775320816,-0.9773025165010351,-0.4477964502058581,-0.5356804783758166,-0.6379568203463444,0.006907067074395312,-0.6518012961470054,-0.06122273238940684,-0.5785178217524465,-0.5341558821648376,2.001355539570151,-0.7408711142250872,-0.3673519014015489,0.2818112539971183,-0.562375407165052,-0.5180931539142262,-0.3196118493925969,0.0586284262672508,-0.5136637956621674,-0.1019633430339407,0.6520949074943168,-0.1387470338806408,1.146620970574617,-0.5064675908511795,-1.008803857574923,-0.3548376827399277,-0.5303887665688272,-0.5711841122331189,-1.05808670288862,-0.5163199615085093,-0.7495940875755257,-0.3622163235975515,-0.3225198718759464,-0.6922174595845618,0.3808385656480833,-0.7375651003534528,0.4265637406003948,-0.05206348109239359,-0.2803138009562006,-0.3580973422702625,-0.7530998499285922,1.610685945839764
Ethylene Chlorohydrin,b'107-07-3',OCCCl,16.9,8.8,17.2,0.0454594686142461,0.0454594686142461,-0.72919694820361,0.1061847899240812,-0.2574024212176497,-0.563442753595695,-0.8104169152706764,-0.8664833187940972,-0.6908316833166573,-0.5523117798560446,0.4602698433680709,-0.8023728402687887,1.052038564253034,0.538414061158325,0.06968366055367588,0.620198749297347,0.0594881138430865,-0.8474620974170852,0.7229951137518581,-0.978558370654741,0.2696935934168297,0.225021588960222,-0.2125720093533323,-0.7721875411615102,-1.163268292611745,-0.8814007314213442,-0.7634045156091867,-0.5232379413278011,1.032969700959273,-0.04350050989880438,-0.1875832770606684,-0.05754252857023395,-0.8980243065643565,0.07462048302483747,-0.4256814876046833,-0.3090570236496101,-0.4539300838734694,-0.5120800762740358,-0.3637739044545082,-0.2497136618059444,2.02357789804427,-0.8109473010045902,-1.005229069794213,0.09360173138384491,0.2121439732436959,-0.2687660910961452,0.1897287890556699,-0.3181509383083594,-0.7339575725320876,0.8480865607185853,-0.7620002145257545,-0.3517509841467615,-0.3261704834068123,-0.2401757893072567,0.4960395682217255,0.401665598182447,-0.7337096367483381,-0.4222688300399541,-0.6889274835412577,-0.7418689775320816,-0.2016661195247653,-0.4477964502058581,-0.5356804783758166,0.5126613406194648,0.1576910531772368,-0.6518012961470054,-0.5199095011762381,-0.5785178217524465,-0.5341558821648376,-0.735616118027448,0.9369851755187315,-0.3673519014015489,0.6254997617827172,-0.6561993484588415,0.4955957494629923,-0.3196118493925969,0.1999771378193411,-0.5136637956621674,-0.399650012499351,-0.8176144452322237,-0.1387470338806408,1.146620970574617,0.4954733595012986,-0.4094840517057703,-0.3548376827399277,-0.5303887665688272,-0.5711841122331189,-0.3653642302599113,0.6111710726482517,-0.2246478182539358,-0.3622163235975515,-0.3225198718759464,-0.6922174595845618,-0.8825579932358236,0.1146127484284753,-0.3316340988017423,0.3342297096698215,-0.4304236942178093,-0.4297652259346992,-0.8513816489277231,1.888546529483522
1-Nitropropane,b'108-03-2',CCC[N+]([O-])=O,16.6,12.3,5.5,0.5880900726248135,0.5880900726248135,-0.713858966111059,-0.1793384594602875,-0.9673121234234268,-0.4720408988731783,-0.6870472532945697,-0.4952070448413246,0.3114246744077712,0.3256333597784188,-0.4186526689505016,0.4254706402226971,1.246373595154705,1.210767552004891,0.6873207896837282,-0.4607065736296263,-0.0644289898253279,-0.07757764513639973,0.2595222079944874,-0.6907101477152542,-0.2959854564387828,-1.153307211364644,-1.117635473899184,-0.8223444913208926,0.06415155702710902,-0.5535118630314387,-0.6309916334954675,-0.3943768541232673,-0.1641515860656758,-0.04349938053384683,-0.3649318210352927,-0.05616357672209416,-0.6855626313313691,-0.802502338024243,-0.4256814876046833,-0.3090570236496101,-0.4539300838734694,2.112561023014992,-0.3637739044545082,-0.2497136618059444,-0.3265415597724058,-0.4601224231393102,-1.005229069794213,0.9662069918248938,-0.6944920990836586,-0.2905437676222306,-0.8264557518204103,-0.3181509383083594,-0.1134549982650565,0.1038480377019172,-0.170771440169552,-0.3517509841467615,-0.3261704834068123,-0.2401757893072567,-0.5174130846575915,-0.08103573658463477,-0.7337096367483381,1.333200720224354,-0.06415747605401577,-0.7418689775320816,0.6767238881235955,-0.4477964502058581,0.9594477753133198,1.359258621895383,0.2351458835521195,-0.6518012961470054,-0.5199095011762381,0.322131995054278,-0.5341558821648376,-0.735616118027448,-0.7408711142250872,-0.3673519014015489,-0.4600824548841024,0.5672212069697115,0.7131524800263719,-0.3196118493925969,0.0586284262672508,-0.5136637956621674,-0.2457324731734855,-0.1911495698375181,-0.1387470338806408,1.146620970574617,-0.5064675908511795,0.7891555600325341,-0.3548376827399277,-0.5303887665688272,-0.5711841122331189,0.3273582423687972,-0.5163199615085093,0.3002984510676542,-0.05675690696716722,-0.3225198718759464,-0.6922174595845618,-0.5892269672828562,0.2423378750928577,-0.421180771998216,0.5880461793782129,-0.3808089420552731,-0.3684651258637642,-0.4203121853338324,0.9550357064607117
Acetaldehyde,b'75-07-0',CC=O,14.7,12.5,7.9,0.3923983838403926,0.3923983838403926,0.09713683703258974,0.5758814329953135,-1.0882003461183,-0.9976015635276493,-1.334680463675203,-1.163504337956315,-0.2819557063001639,0.0623198658670137,-0.1550460412147968,-0.3014673595102189,1.635043656958048,0.538414061158325,0.06968366055367588,-0.4893044708975573,0.08231058677643051,-1.901115451852842,2.260778199636591,-2.532778411835063,1.370709324652631,-0.2819094688982456,-0.695048401499418,-1.787439896123652,-0.8583863936169137,-0.8648090770125986,-1.157482874640487,-0.5232379413278011,0.2161104698128374,-0.04350109015073572,-0.6375566630867957,-0.05823799993712184,-1.290475690282479,0.02103147573080393,0.9642464590791459,-0.3090570236496101,-0.4539300838734694,-0.5120800762740358,-0.3637739044545082,-0.2497136618059444,-0.3265415597724058,-0.8109473010045902,-0.3870015558874988,-0.8454174104680586,-0.6944920990836586,-0.3058502379908535,-0.2758194063594637,-0.3181509383083594,-0.4120138640090936,-0.7158682353903206,-0.7620002145257545,-0.3517509841467615,-0.3261704834068123,-0.2401757893072567,-0.5174130846575915,-0.4893904088135818,0.1142857350984052,-0.4222688300399541,-0.3647696451600406,-0.7418689775320816,-0.3228233619590219,-0.4477964502058581,-0.5356804783758166,-0.6379568203463444,-0.6844305470165247,0.04903947179419008,-0.02529575381472344,-0.5785178217524465,-0.5341558821648376,-0.735616118027448,-0.2593771670310276,-0.3673519014015489,-0.4600824548841024,0.5295357767291164,-0.5180931539142262,-0.3196118493925969,0.0586284262672508,-0.5136637956621674,-0.2169786471455765,-0.3425623233328127,-0.1387470338806408,-0.1110594542937405,-0.5064675908511795,-0.4094840517057703,-0.3548376827399277,-0.5303887665688272,-0.5711841122331189,-0.3653642302599113,-0.5163199615085093,-0.7495940875755257,-0.6676757402279357,-0.3225198718759464,-0.6922174595845618,-0.8904771583350807,0.6128512361691848,-0.6758660633458233,0.4812778958965281,-0.4925655055069064,-0.4879928964940036,-1.267027950938904,0.5802336393799619
Bromide-2,7726-95-6,BrBr,18.2,2.1,0.0,-1.58492667548771,-1.58492667548771,2.581889936025896,1.988240712392801,0.2686208322902451,-1.180405272972683,0.3297315668660875,-1.312014847537424,-1.078191613344351,2.104179412418241,-2.199178688504889,-1.276919458030343,-0.6969767138620083,-1.478646411381373,-1.78322772683648,3.221497502714156,22.14351257726913,-2.618242890213959,3.096375825409749,-0.3023133731802287,4.692404314543694,2.813096367214289,8.387215158598586,-1.604186887112849,-2.560120724655713,-0.9400113344977666,0.332792005702032,-0.5232379413278011,2.032918070121289,-0.04350119698959037,-0.5549666112212406,-0.0602384793573942,-0.9524038659759683,-0.802502338024243,-0.4256814876046833,-0.3090570236496101,-0.4539300838734694,-0.5120800762740358,-0.3637739044545082,-0.2497136618059444,-0.3265415597724058,-0.8109473010045902,-1.005229069794213,3.666883452946896,-0.6944920990836586,-0.8757441484057942,1.648574954752638,-0.3181509383083594,-0.7339575725320876,-0.7158682353903206,-0.7620002145257545,-0.3517509841467615,-0.3261704834068123,-0.2401757893072567,1.950963804221007,-0.9847646125351787,-0.7337096367483381,-0.4222688300399541,-0.6889274835412577,-0.7418689775320816,-0.9773025165010351,-0.4477964502058581,-0.5356804783758166,-0.6379568203463444,-0.6844305470165247,-0.6518012961470054,-0.5199095011762381,-0.5785178217524465,-0.5341558821648376,1.861458588747355,-0.7408711142250872,-0.3673519014015489,0.7495517549644345,-0.6561993484588415,-0.5180931539142262,-0.3196118493925969,0.0586284262672508,-0.5136637956621674,-0.399650012499351,-0.8472715016504616,-0.1387470338806408,-1.368739879162098,-0.5064675908511795,-1.008803857574923,-0.3548376827399277,-0.5303887665688272,-0.5711841122331189,-1.05808670288862,-0.5163199615085093,-0.2246478182539358,-0.6676757402279357,-0.3225198718759464,-0.6922174595845618,0.06626099918491404,2.655315378668418,-1.730050123018933,1.350035075186741,-0.5123628806800452,-0.4009109873224979,-1.193464238134312,-1.236678299198498
"2,5-Diethoxy Tetrahydrofuran",b'3320-90-9',CCOC1CCC(OCC)O1,16.6,6.4,7.3,-0.7203458284457159,-0.7203458284457159,-0.7961664125152119,0.02437475049169728,1.34141632540778,2.670936514653361,0.3355549600013233,0.6186217770169936,0.01902277440717247,-0.26786376803623,0.1755051697156985,0.06725513594372844,-0.4849748619692761,-0.3784316081779012,-0.09876282920906547,-0.4529329462099291,-0.121909718306812,1.091315310312154,-0.890406967274437,0.8123277034045872,-0.8406721004958598,-0.866803585869228,-0.8031344634494527,1.500416801810958,-0.9481604115540923,-0.2549245013616058,0.5255460944408405,0.3198816360387863,0.5118698466072366,-0.04343905460475969,0.2242988289202173,-0.05691805595950589,0.4450893427652433,1.638379855905269,-0.4256814876046833,3.710911731444666,-0.4539300838734694,-0.5120800762740358,-0.3637739044545082,-0.2497136618059444,-0.3265415597724058,-0.8109473010045902,0.2312259580192151,3.315553975847032,-0.6944920990836586,0.8133715565316635,-0.8264557518204103,-0.3181509383083594,1.092001762894401,0.9391264885747186,-0.7620002145257545,-0.3517509841467615,-0.3261704834068123,-0.2401757893072567,-0.5174130846575915,1.047889772022124,1.779674475845019,-0.4222688300399541,0.5606125314332261,-0.7418689775320816,0.0843569907788913,-0.4477964502058581,-0.5356804783758166,1.552915977626226,1.208016647723167,0.7799068317213529,-0.5199095011762381,-0.5785178217524465,0.7326522272379908,-0.735616118027448,0.6862348315914749,0.7022823765949596,-0.4600824548841024,-0.6561993484588415,-0.5180931539142262,-0.3196118493925969,0.0586284262672508,-0.5136637956621674,0.05136784376115955,1.026583472511043,-0.1387470338806408,1.146620970574617,-0.5064675908511795,0.7891555600325341,1.933195865870832,-0.5303887665688272,-0.5711841122331189,1.020080714997506,-0.5163199615085093,0.3002984510676542,0.5541619262936013,2.15436026775562,0.7055096707730393,-0.04267580852193867,1.090767708093525,-0.9593582378951533,0.9655224046910591,-0.1994873582656913,0.07825873924388392,0.6225888075665883,-0.2766594687653439
Phenylhydrazine,b'100-63-0',[H+].[Cl-].NNc1ccccc1,20.4,6.5,14.0,-0.8176398963496583,-0.8176398963496583,-0.8346455750899001,0.04624670322125572,-1.072510167403702,-0.5405922899150657,0.111131453693272,0.02457973869255727,5.762012590025712,-4.618760621080143,4.531245659956932,7.102872869161481,-0.1787499647908844,0.0901784005939476,0.2755627035970267,0.6177547777637151,-3.149182015185342,-0.3029986307623282,-0.2327214097918113,0.1776055041778902,-3.149650682551949,-0.3088374076662802,-0.5756403239195468,0.4222395242455564,-3.993164870914989,0.2109089957255348,-0.3564074218004042,-0.1460733573842768,-0.3472407240812562,-0.04348854884059791,0.07695159712936829,-0.05742308482118446,0.2405567782399985,2.26055327186912,-0.4256814876046833,-0.3090570236496101,-0.1568914182378452,1.004078711045447,-0.3637739044545082,-0.2497136618059444,-0.3265415597724058,0.1111988281006991,0.07811506156541247,0.06284133955051263,-0.6944920990836586,0.7685699298126618,-0.3282690475525719,1.584845600890829,-0.7339575725320876,-0.03629985625290125,1.011036124343145,-0.3517509841467615,9.183927514055314,0.775577460539285,-0.5174130846575915,-0.9847646125351787,-0.7337096367483381,-0.4222688300399541,-0.6221346666177533,1.374941604609137,0.4815687096456314,-0.4477964502058581,-0.5356804783758166,1.771239140898695,-0.6844305470165247,-0.01771755780444038,-0.5199095011762381,-0.5785178217524465,2.240690553833924,-0.2369080995670548,-0.154117844289089,-0.3673519014015489,-0.4600824548841024,-0.6561993484588415,-0.5180931539142262,1.798609683818601,2.134682915564858,1.777138396189222,-0.399650012499351,-0.8472715016504616,-0.1387470338806408,-1.368739879162098,2.499355260206255,0.1898357541633819,-0.3548376827399277,1.31920675358318,1.107974342439297,0.3273582423687972,1.738662106805013,0.3002984510676542,-0.3622163235975515,-0.3225198718759464,0.7055096707730393,-2.253153006512111,0.1705467303813135,-0.3550351736671558,-0.3378577840243732,-0.3028123627809231,-0.2925785958116939,-0.5471615114420727,-1.024461657304309
Menthofuran,b'494-90-6',C[C@@H]1CCc2c(C)coc2C1,17.2,4.6,5.6,-0.7009656241180506,-0.7009656241180506,0.175418063137448,0.6203772889967017,0.7099636736992195,1.599042036543848,0.1918825051685419,0.39585601264533,-0.3463916915775745,-1.047336166664331,0.955845316220111,-0.3804065488924103,0.5750343974943862,1.271890596627306,2.259488027469315,-0.4775280885759075,-0.2672154992124877,0.9162954395783571,-1.037536702100468,1.047120771807177,-0.6490948884254585,-0.3886073420907491,-0.1087186428892111,1.357510515901875,-0.606645111974064,0.9636356706413646,0.5640187769413065,0.7746454540236599,-0.3331569442339039,-0.04342922825966413,-0.4295181008446602,-0.0589381547247152,0.4372267899316636,-0.04379028356190134,0.8479622314585139,-0.3090570236496101,-0.4539300838734694,-0.5120800762740358,-0.3637739044545082,-0.2497136618059444,-0.3265415597724058,-0.4601224231393102,2.281590066934692,0.1799687932596744,0.1649767894498834,-0.3507075653601506,-0.8264557518204103,1.609350393139857,0.8056064417460118,-0.7158682353903206,0.5912428862450205,-0.3517509841467615,-0.3261704834068123,-0.2401757893072567,-0.5174130846575915,-0.9847646125351787,1.537553182021028,1.806562920594867,0.7264707660263502,0.00349315760316868,-0.4735030970117526,-0.4477964502058581,-0.5356804783758166,-0.6379568203463444,-0.6844305470165247,0.7238370355822894,1.603838065598984,-0.5785178217524465,0.03881688128304406,0.537165309226518,-0.2972763816408012,-0.001434665140102394,-0.4600824548841024,-0.6561993484588415,-0.5180931539142262,1.401414839981479,0.8932642982400333,-0.5136637956621674,0.959774502049149,0.7005194884332232,-0.1387470338806408,0.140476630679931,-0.5064675908511795,-0.4094840517057703,1.933195865870832,-0.5303887665688272,1.107974342439297,-0.3653642302599113,-0.5163199615085093,-0.7495940875755257,-0.6676757402279357,-0.3225198718759464,2.10323680113064,0.7240152633071062,-0.112256457303166,-0.1363270402511927,-0.4067921197238223,-0.05563983732030623,-0.0963474578730716,0.1706733814212322,-0.4418314287101253
"1,2-Epoxy-2-Propene",,C=C1CO1,16.5,8.6,6.7,-1.00896272472012,-1.00896272472012,0.1489025265949502,0.6053055846494279,-0.964653092001142,1.081790631409606,-1.161977315657136,-1.014993828375206,-0.09149722485822176,-1.170182593964547,1.078828502341537,-0.06814062335087043,1.635043656958048,1.042679179293249,0.532911507401215,-0.463994333662303,0.02467924685538224,0.5008329815386622,1.71807536927154,0.4055576555807935,1.786833081923887,-0.6239564593583509,0.00175866913506619,0.07797650281469612,-0.2675384438044021,-0.6378362198161306,-0.9680935864712004,-0.4872201724973179,0.03302133179725704,-0.04349949863552808,-1.029928895825594,-0.06015701520786599,-1.088739945497049,0.01112505995226102,2.308565279456174,-0.3090570236496101,-0.4539300838734694,-0.5120800762740358,-0.3637739044545082,-0.2497136618059444,-0.3265415597724058,-0.477593471834831,-1.005229069794213,-0.8454174104680586,-0.6944920990836586,-0.3127055800933083,-0.8264557518204103,-0.3181509383083594,-0.7339575725320876,0.111629126592199,-0.04078106012227185,-0.3517509841467615,-0.3261704834068123,-0.2401757893072567,-0.5174130846575915,-0.4641162962520035,0.1040850674494474,-0.4222688300399541,-0.6889274835412577,0.1191874512708243,-0.4968910457095047,-0.4477964502058581,-0.5356804783758166,-0.6379568203463444,-0.6844305470165247,0.7268828353143513,-0.5199095011762381,-0.5785178217524465,-0.5341558821648376,0.3044680103006868,-0.7408711142250872,-0.06468184239370121,-0.4600824548841024,-0.6561993484588415,-0.5180931539142262,-0.3196118493925969,0.4317890247647691,-0.5136637956621674,-0.399650012499351,0.6328852232234129,-0.1387470338806408,-0.530286262583193,-0.5064675908511795,-0.4094840517057703,1.933195865870832,-0.5303887665688272,-0.5711841122331189,-0.3653642302599113,-0.5163199615085093,-0.7495940875755257,-0.6676757402279357,2.15436026775562,0.7055096707730393,-0.6811665425815475,0.2383929930042781,-0.4192694198747557,0.02472483016233958,-0.4721680061917465,-0.4706113437864278,-1.100032194946529,0.03297963776382383
